t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.09,pd_gc,0.756748126277153,114.1519295669963,0.002197892018353525,-0.4489984913879725,0.0019438973991018759,-1.7917941482547322,0.0007447249056639336,1.311219287108889,0.6630754086470427,0.013992903463958494,3.65989865173091,0.010548721332529168,6.011406390199666,0.008928742982993017,-3.4812614550651793,-1.6476160328274287,15.626118506420656,-87.0,9.80849722840964,-69.61149796227596,3.542624768045833,12.0,10.907336412385103
0.092,pd_gc,0.771375611665114,114.64111273257022,0.0022252651537468717,-0.4416737350686324,0.001964441443271584,-1.7797719679573978,0.0007624204651710331,1.304326079604161,0.6598022759874854,0.013686567696673197,3.66237815967005,0.010272022084853989,6.011090148667202,0.008847779753549721,-3.446603752364009,-1.6365663297786606,15.628267990036301,-87.0,9.816533532977797,-70.40574189477998,3.5419581883459923,12.0,10.929944099904406
0.094,pd_gc,0.7860302799608647,115.11771932129778,0.0022520392711079325,-0.43434595090821837,0.001984449918811315,-1.7677554753253486,0.0007799496239986113,1.2975045307119926,0.6565516034388312,0.013387058680530408,3.6638920802070056,0.010004237769865485,6.008246316024543,0.008764579413789131,-3.4107744460841873,-1.625336274327068,15.630366839946825,-87.0,9.824540047965296,-71.17435011735145,3.541298594437715,12.0,10.951275572709365
0.096,pd_gc,0.8007033440238802,115.58154367844169,0.002278227553913729,-0.42701702166725153,0.0020039397709711,-1.7557496120784082,0.0007973080014553434,1.2907568190932563,0.6533237012373994,0.013094141402898345,3.6644646204834324,0.009744926079892587,6.002931623470171,0.008679188728366066,-3.373855809368089,-1.6139511007159562,15.632418036783942,-87.0,9.83251969277733,-71.91754829923323,3.5406464112954237,12.0,10.971434342124043
0.098,pd_gc,0.8153863935599196,116.03240814973437,0.0023038427967541747,-0.41968878106465723,0.002022927223857803,-1.7437592053775979,0.0008144913367870164,1.2840849620087467,0.6501188336139754,0.012807621420222888,3.664120301297134,0.00949372644335135,5.995203350405194,0.008591667665836555,-3.3359285422548717,-1.6024338117120092,15.634423816046324,-87.0,9.84047410729518,-72.635573684909,3.5400019807286496,12.0,10.990515172230452
0.1,pd_gc,0.8300713829456999,116.47016270757165,0.002328897464443529,-0.412363013117269,0.002041427898564658,-1.7317889666338615,0.0008314955088757092,1.2774908184835643,0.6469372228764587,0.01252733384467724,3.6628839736941345,0.009250337353427712,5.985119371868164,0.008502086044346347,-3.297071762591232,-1.5908053687583041,15.636385876376547,-87.0,9.848404021008905,-73.32867574935162,3.5393655871533563,12.0,11.00860482437129
0.10200000000000001,pd_gc,0.8447506196060797,116.89468455595396,0.002353403735280391,-0.40504145145315046,0.00205945689875815,-1.71984349023777,0.0008483165510792623,1.2709760924954738,0.6437790531453076,0.012253135418430804,3.660780832059257,0.009014500096745823,5.972738198045737,0.008410521101776583,-3.2573629940451676,-1.5790848655755736,15.638305529019036,-87.0,9.85630951824986,-73.99711678460167,3.538737475821545,12.0,11.025782735966027
0.10400000000000001,pd_gc,0.8594167529558172,117.3058777126097,0.0023773735328683617,-0.39772577860596525,0.002077028872855024,-1.7079272522265712,0.000864950662536794,1.2645423361927288,0.6406444737717708,0.01198489879398545,3.657836423592594,0.008785987048436953,5.958119005599381,0.008317055728765855,-3.216878151372543,-1.567289686768392,15.640183805319538,-87.0,9.864190229431335,-74.6411724133154,3.538117865607887,12.0,11.042121640062833
0.106,pd_gc,0.8740627639047909,117.70367256579345,0.00240081854965409,-0.39041762529778146,0.0020941580593173284,-1.6960446089053607,0.0008813942168890679,1.2581909531464792,0.6375336024661397,0.011722508392864175,3.654076654091908,0.008564593231152254,5.941321660605236,0.008221777176136882,-3.175691523124759,-1.5554356528155795,15.642021534254738,-87.0,9.87204546950067,-75.26113202550452,3.5375069578809395,12.0,11.05768813125345
0.108,pd_gc,0.8886819549151482,118.08802540276284,0.0024237502644443164,-0.383118569717802,0.0021108583197403333,-1.6841997954394432,0.0008976437690913712,1.2519232016424426,0.6344465281607895,0.011465857395113166,3.6495277899897176,0.008350130211502481,5.922406732958763,0.008124776101151665,-3.1338757520182785,-1.5435371526751045,15.643819398527574,-87.0,9.879874338657041,-75.85729913522977,3.536904942561566,12.0,11.072543182923711
